,distance,sentiment
actings,0.3241150442477876,0.2023
action,0.30420353982300885,0.1531
actions,0.3606194690265487,0.1531
activate,0.44579646017699115,0.2263
activated,0.4209070796460177,0.2263
activates,0.44579646017699115,0.2263
activating,0.40099557522123896,0.4588
activation,0.4059734513274336,0.4588
activations,0.4059734513274336,0.4588
activator,0.44745575221238937,0.0772
activators,0.44745575221238937,0.0772
active,0.37610619469026546,0.4019
actively,0.49004424778761063,0.3182
actives,0.4325221238938053,0.2732
activities,0.38827433628318586,0.1531
activity,0.5608407079646017,0.1531
acts,0.3196902654867257,0.0772
actuate,0.4668141592920354,0.2263
actuated,0.45464601769911506,0.2263
actuates,0.4961283185840708,0.2263
actuating,0.4103982300884956,0.2263
acuity,0.5381637168141593,0.34
acute,0.36504424778761063,0.0772
acuteness,0.41758849557522126,0.34
acuter,0.4336283185840708,0.0772
acutest,0.5154867256637168,0.0772
adam,0.11061946902654868,0.5994
adamant,0.23285398230088494,0.34
addict,0.18971238938053098,-0.4404
addicts,0.2461283185840708,-0.4404
addition,0.20630530973451328,0.4215
additions,0.20630530973451328,0.4215
address,0.3125,0.4019
addressed,0.2704646017699115,0.4019
addresses,0.29535398230088494,0.4019
addressing,0.25055309734513276,0.4019
adept,0.25663716814159293,0.5994
adepts,0.3379424778761062,0.5994
adequacy,0.4258849557522124,0.4019
adequate,0.35896017699115046,0.2263
adequately,0.3163716814159292,0.25
adherence,0.1454646017699115,0.296
adhesion,0.1913716814159292,0.296
adhesions,0.1913716814159292,0.296
adieu,0.21902654867256638,0.296
adieus,0.30033185840707965,0.296
adieux,0.3805309734513274,0.296
adios,0.24336283185840707,0.296
adjudicate,0.271570796460177,0.3818
adjudicated,0.271570796460177,0.3818
adjudicates,0.271570796460177,0.3818
adjudicating,0.271570796460177,0.3818
admirable,0.19303097345132744,0.5574
admirably,0.3036504424778761,0.5423
admiral,0.23396017699115043,0.3182
admirals,0.26327433628318586,0.3612
admiration,0.24778761061946902,0.5423
admire,0.2179203539823009,0.4767
admired,0.21626106194690264,0.5106
admirer,0.2627212389380531,0.4215
admirers,0.2920353982300885,0.4019
admires,0.2743362831858407,0.3612
admiring,0.20353982300884957,0.3818
admiringly,0.1609513274336283,0.5106
admit,0.24280973451327434,0.2023
admits,0.3241150442477876,0.296
admitted,0.3202433628318584,0.1027
admittedly,0.2776548672566372,0.4215
admitting,0.27599557522123896,0.2023
admonish,0.25110619469026546,-0.1027
admonished,0.22013274336283187,-0.4404
admonishes,0.22013274336283187,-0.1027
admonishing,0.206858407079646,-0.1027
admonition,0.2323008849557522,-0.34
admonitions,0.2323008849557522,-0.34
admonitory,0.273783185840708,-0.34
adopt,0.3230088495575221,0.1779
adopted,0.3252212389380531,0.1779
adopting,0.3125,0.1779
adoption,0.3313053097345133,0.4588
adoptions,0.3313053097345133,0.4588
adopts,0.4043141592920354,0.1779
adorable,0.2516592920353982,0.4939
adorably,0.3844026548672566,0.4767
adoration,0.2981194690265487,0.5994
adore,0.24170353982300885,0.5574
adored,0.24834070796460178,0.4215
adorer,0.310287610619469,0.4019
adorers,0.36670353982300885,0.4767
adores,0.3230088495575221,0.3818
adoring,0.2649336283185841,0.5574
adoringly,0.3235619469026549,0.5267
adorn,0.27654867256637167,0.2263
adorned,0.27876106194690264,0.2023
adorning,0.26603982300884954,0.25
adornment,0.290929203539823,0.3182
adornments,0.290929203539823,0.2023
adorns,0.35785398230088494,0.128
adulteress,0.40763274336283184,-0.5859
adulteresses,0.40763274336283184,-0.5859
adulterous,0.44081858407079644,-0.5574
advance,0.30918141592920356,0.4215
advanced,0.29701327433628316,0.25
advancement,0.2610619469026549,0.4215
advancements,0.2610619469026549,0.4215
advancer,0.32798672566371684,0.25
advances,0.33849557522123896,0.4215
advancing,0.25276548672566373,0.4215
advantage,0.36117256637168144,0.25
advantaged,0.36117256637168144,0.34
advantageous,0.36117256637168144,0.3612
advantageously,0.36117256637168144,0.4404
advantages,0.36117256637168144,0.3612
adventure,0.461283185840708,0.3182
adventured,0.461283185840708,0.3182
adventurer,0.461283185840708,0.296
adventurers,0.461283185840708,0.2263
adventures,0.461283185840708,0.34
adventuring,0.4480088495575221,0.5106
adventurism,0.4480088495575221,0.3612
adventurous,0.461283185840708,0.34
adventurously,0.461283185840708,0.3182
adversarial,0.4120575221238938,-0.3612
adversaries,0.4120575221238938,-0.25
adversary,0.5359513274336283,-0.2023
adverse,0.4153761061946903,-0.3612
adversely,0.47400442477876104,-0.2023
adversities,0.40763274336283184,-0.3612
adversity,0.5315265486725663,-0.4215
advertise,0.4231194690265487,0.3818
advertised,0.4231194690265487,0.3818
advertises,0.4231194690265487,0.3818
advertising,0.4098451327433628,0.3818
advisedly,0.4231194690265487,0.34
advocate,0.3938053097345133,0.3612
advocated,0.3689159292035398,0.3612
advocates,0.3938053097345133,0.3612
advocating,0.34900442477876104,0.3612
aerated,0.310287610619469,-0.2023
affable,0.11504424778761062,0.4215
affair,0.1698008849557522,0.0258
affairs,0.22621681415929204,0.0258
affect,0.1875,-0.1027
affected,0.1698008849557522,-0.1531
affecting,0.12555309734513273,-0.1027
affection,0.13550884955752213,0.5267
affectionate,0.13550884955752213,0.4404
affectionately,0.13550884955752213,0.4939
affections,0.13550884955752213,0.3612
affective,0.2140486725663717,0.4404
affects,0.24391592920353983,-0.1027
affirm,0.19745575221238937,0.4019
affirmative,0.21073008849557523,0.3182
affirmed,0.17975663716814158,0.4019
affirming,0.13550884955752213,0.4019
affirms,0.2538716814159292,0.4019
afflicted,0.1570796460176991,-0.3612
affluence,0.21515486725663716,0.4939
affluent,0.29314159292035397,0.3612
affray,0.37555309734513276,-0.3818
affront,0.3235619469026549,-0.5106
affronted,0.2815265486725664,0.0516
affronts,0.3528761061946903,-0.5106
age,0.06305309734513274,0.4215
aged,0.07964601769911504,0.4215
ageing,0.13550884955752213,0.4215
ageings,0.19192477876106195,0.4215
agencies,0.1670353982300885,0.0772
agency,0.3202433628318584,0.0772
ages,0.1875,0.4215
aggravate,0.35398230088495575,-0.5423
aggravated,0.35398230088495575,-0.4404
aggravates,0.35398230088495575,-0.4404
aggravating,0.3407079646017699,-0.296
aggravation,0.3407079646017699,-0.5106
aggravations,0.3407079646017699,-0.5106
aggression,0.2688053097345133,-0.296
aggressions,0.2688053097345133,-0.3182
aggressive,0.3346238938053097,-0.1531
aggressively,0.3346238938053097,-0.3182
aggressiveness,0.3346238938053097,-0.4215
aggressor,0.310287610619469,-0.2023
aggressors,0.310287610619469,-0.2263
aggrieved,0.252212389380531,-0.3818
aghast,0.29535398230088494,-0.4404
aging,0.14823008849557523,0.4215
agings,0.2295353982300885,0.4215
agitate,0.3307522123893805,-0.4019
agitated,0.3185840707964602,-0.4588
agitatedly,0.27599557522123896,-0.3818
agitates,0.3600663716814159,-0.34
agitating,0.2743362831858407,-0.4215
agitation,0.2842920353982301,-0.25
agitations,0.2842920353982301,-0.3182
agitator,0.37168141592920356,-0.34
agitators,0.37168141592920356,-0.4767
agnostic,0.37223451327433627,-0.3818
agnosticism,0.32798672566371684,-0.25
agnostics,0.37223451327433627,-0.3818
agog,0.14767699115044247,0.4404
agonies,0.26603982300884954,-0.4215
agonise,0.2815265486725664,-0.4767
agonised,0.26935840707964603,-0.5106
agonises,0.3108407079646018,-0.5267
agonising,0.22511061946902655,-0.3612
agonist,0.3561946902654867,0.4404
agonists,0.3855088495575221,0.4404
agony,0.4004424778761062,-0.4215
agree,0.19800884955752213,0.3612
agreeable,0.17699115044247787,0.4215
agreeableness,0.17699115044247787,0.4215
agreeably,0.28761061946902655,0.3818
agreed,0.20464601769911506,0.2732
agreeing,0.1875,0.34
agreement,0.21238938053097345,0.4939
agreements,0.21238938053097345,0.2732
agrees,0.2793141592920354,0.2023
aid,0.07356194690265487,0.4019
aided,0.10232300884955753,0.4019
aides,0.19358407079646017,0.4019
aiding,0.14601769911504425,0.4019
aids,0.19800884955752213,0.4019
ail,0.10896017699115045,-0.4019
ailing,0.18141592920353983,-0.4019
ailment,0.26935840707964603,-0.296
ailments,0.29867256637168144,-0.296
ails,0.2334070796460177,-0.4019
air,0.18196902654867256,-0.0516
airier,0.28650442477876104,0.5267
airiest,0.36836283185840707,0.5267
airs,0.3064159292035398,-0.0516
airy,0.4192477876106195,0.5267
alacrity,0.4004424778761062,0.4588
alarm,0.25055309734513276,-0.34
alarmed,0.25276548672566373,-0.34
alarming,0.24004424778761063,-0.128
alarmingly,0.19745575221238937,-0.5574
alarmism,0.2936946902654867,-0.0772
alarms,0.33185840707964603,-0.2732
alas,0.22787610619469026,-0.2732
alert,0.3274336283185841,0.296
alerted,0.32964601769911506,-0.34
alerting,0.31692477876106195,0.296
alerts,0.40873893805309736,0.296
alibi,0.14878318584070796,0.0772
alibis,0.23008849557522124,0.0772
alienated,0.22289823008849557,-0.3612
alienation,0.2079646017699115,-0.2732
alike,0.1592920353982301,0.3612
alive,0.29922566371681414,0.3818
allay,0.3689159292035398,0.3612
allayed,0.3711283185840708,0.3612
allaying,0.3584070796460177,0.3612
allays,0.4502212389380531,0.3612
allegiance,0.1515486725663717,0.3818
allegiances,0.1515486725663717,0.3818
allergic,0.22566371681415928,-0.296
alleviate,0.33241150442477874,0.3612
alleviated,0.33241150442477874,0.3612
alleviates,0.33241150442477874,0.3612
alleviating,0.31913716814159293,0.3612
alleviation,0.31913716814159293,0.4767
alleviations,0.31913716814159293,0.4767
allies,0.25110619469026546,0.4939
allot,0.3241150442477876,0.3612
allots,0.40542035398230086,0.3612
allotted,0.40154867256637167,0.3612
allotting,0.3573008849557522,0.3612
allow,0.37555309734513276,0.2263
allowance,0.3694690265486726,0.296
allowances,0.3694690265486726,0.296
allowed,0.37776548672566373,0.2263
allowing,0.36504424778761063,0.2263
allows,0.45685840707964603,0.2263
ally,0.3711283185840708,0.4939
almighty,0.3661504424778761,0.5574
alone,0.2372787610619469,-0.25
aloneness,0.28982300884955753,-0.4215
alongside,0.26548672566371684,0.0258
alright,0.3141592920353982,0.25
alter,0.34623893805309736,-0.4588
altercate,0.38329646017699115,-0.4019
altered,0.34845132743362833,-0.4588
altering,0.33573008849557523,-0.4588
alters,0.42754424778761063,-0.4588
amatory,0.5276548672566371,0.4215
amaze,0.38495575221238937,0.5423
amazed,0.3915929203539823,0.4939
amazement,0.3993362831858407,0.5423
amazes,0.46626106194690264,0.4939
amazing,0.4081858407079646,0.5859
amazingly,0.4668141592920354,0.296
amazon,0.4579646017699115,0.1779
amazons,0.5143805309734514,-0.0258
ambidextrous,0.31526548672566373,-0.4404
ambit,0.2549778761061947,0.0258
ambition,0.26327433628318586,0.25
ambitions,0.26327433628318586,0.25
ambitious,0.3290929203539823,0.4767
ambivalent,0.2549778761061947,0.128
ambuscade,0.3567477876106195,-0.3182
ambuscades,0.3567477876106195,-0.3182
ambush,0.375,-0.3182
ambushed,0.3573008849557522,-0.2023
ambushes,0.398783185840708,-0.3182
ambushing,0.31305309734513276,-0.2023
ameliorate,0.26991150442477874,0.4404
ameliorated,0.26991150442477874,0.4404
ameliorates,0.26991150442477874,0.4404
